"STRENGTH TRAINING, DANCE",PLATEFIT - Brentwood,"13050 San Vicente Blvd, #208, Los Angeles",4.9,(5000+)
YOGA,Modo Yoga LA,"2570 Lincoln Boulevard, Los Angeles",4.8,(5000+)
YOGA,PLAYLIST. Yoga,"624 N La Cienega Blvd, West Hollywood",4.9,(5000+)
GYM TIME,Crunch Gym,"8000 Sunset Blvd, Los Angeles",4.8,(5000+)
YOGA,Evoke Yoga,"731 S Spring St, Los Angeles",4.9,(5000+)
"STRENGTH TRAINING, RUNNING",Barry's Bootcamp,"700-B Allied Way, Suite B5.02, El Segundo",4.9,(1000+)
YOGA,The Yoga Collective,"512 Rose Ave, Los Angeles",4.9,(5000+)
PILATES,Pilates Platinum,"11755 Wilshire Blvd, Suite 60, Los Angeles",4.8,(5000+)
CYCLING,Indigo Fitness,"3733 Sunset Blvd, Los Angeles",4.9,(1000+)
PILATES,Phitosophy,"127 N San Fernando Blvd, Burbank",4.9,(1000+)
STRENGTH TRAINING,Stride,"906 Granite Dr, Pasadena",4.9,(5000+)
PILATES,Studio Elevate LA,"12462 W Washington Blvd, Los Angeles",4.9,(5000+)
YOGA,White Heat Yoga,"11049 W Magnolia Blvd, Ste. 500, Los Angeles",4.8,(5000+)
"YOGA, BOXING",IRON Fitness,"11601 Wilshire Blvd, #105, Los Angeles",4.9,(5000+)
PILATES,Pilates Plus,"13205 Ventura Blvd, Los Angeles",4.8,(5000+)
PILATES,Natural Pilates,"2894 Rowena Ave, Los Angeles",4.9,(5000+)
YOGA,Red Diamond Yoga,"3500 Overland Ave, Suite 210, Los Angeles",4.8,(5000+)
BARRE,Physique 57,"320 N Canon Dr, Beverly Hills",4.9,(5000+)
PILATES,Tribe Pilates,"911 Pico Boulevard, Santa Monica",4.9,(1000+)
CYCLING,Sycle,"10112 Riverside Dr, Los Angeles",4.8,(5000+)
ROWING,Speedplay,"1113 S Hope St, Los Angeles",4.9,(5000+)
PILATES,WundaBar Pilates,"1864 N Vermont Ave, /2 #A, Los Angeles",4.9,(5000+)
YOGA,YogaHop,"1612 Montana Ave, 2nd Floor, Santa Monica",4.9,(5000+)
CYCLING,SPIN Movement,"2309 Huntington Dr, San Marino",4.9,(5000+)
CYCLING,Chrome Cycle Studio,"2180 Westwood Blvd, Suite 2G, Los Angeles",4.8,(5000+)
CYCLING,EvolvCycle,"12038 Ventura Blvd, Los Angeles",4.8,(5000+)
PILATES,Karen Lord Pilates Movement,"1729 Abbott Kinney Blvd , Venice",4.9,(1000+)
YOGA,CorePower Yoga,"7080 Hollywood Blvd, Los Angeles",4.8,(5000+)
PILATES,AVENIR-LA,"4370 Fountain Avenue, Los Angeles",4.9,(1000+)
STRENGTH TRAINING,BRICK Los Angeles,"7811 Santa Monica Blvd, West Hollywood",4.9,(5000+)
CYCLING,BESPOKE Cycling Studio,"735 S Figueroa St, #105, Los Angeles",4.8,(5000+)
YOGA,One Down Dog,"4343 Sunset Blvd, # 208, Los Angeles",4.8,(5000+)
YOGA,yogaraj,"2001 S Barrington Ave, Los Angeles",4.9,(5000+)
PILATES,Coreology Fitness,"2403 N Sepulveda Blvd, Manhattan Beach",4.9,(5000+)
"STRENGTH TRAINING, DANCE",PLATEFIT,"309 N Kings Rd, Los Angeles",4.8,(5000+)
STRENGTH TRAINING,Basecamp Fitness,"1315 Lincoln Blvd, Santa Monica",4.9,(5000+)
BOXING,JFM Boxing Club,"3127 W Washington Blvd, Marina del Rey",4.9,(5000+)
"YOGA, CYCLING",Sync Yoga and Cycle,"217 W California Ave, Glendale",4.9,(5000+)
PILATES,Natural Pilates,"9869 S Santa Monica Blvd, Beverly Hills",4.9,(5000+)
YOGA,Veda Yoga,"9349 Venice Blvd, Culver City",4.8,(5000+)
PILATES,Be Pilates,"1393 E Washington Blvd, Pasadena",4.9,(1000+)
BOXING,Classic Kickboxing,"91 E Union St, Pasadena",4.9,(5000+)
"STRENGTH TRAINING, RUNNING",Barry's Bootcamp,"14622 Ventura Blvd, Ste 201, Los Angeles",4.9,(5000+)
YOGA,CorePower Yoga,"168 W Green St, Suite 113, Pasadena",4.8,(5000+)
YOGA,CorePower Yoga,"3575 Cahuenga Blvd W, #222, Los Angeles",4.9,(5000+)
"STRENGTH TRAINING, DANCE",modelFIT,"8067 W 3rd St, Los Angeles",4.8,(5000+)
PILATES,Sweat Pilates,"6138 W Washington Blvd, Culver City",4.8,(5000+)
GYM TIME,Crunch Gym,"761 N San Fernando Blvd, Burbank",4.9,(5000+)
PILATES,Pilates Platinum,"1255 2nd St, Santa Monica",4.9,(5000+)
PILATES,Claudia Martin Studio,"7603 Melrose Ave, Los Angeles",4.8,(5000+)
DANCE,LA Dancefit Studio,"10936 Santa Monica Blvd, Los Angeles",4.8,(5000+)
YOGA,CorePower Yoga,"13920 Ventura Blvd, Los Angeles",4.9,(1000+)
"YOGA, BARRE",exhale,"101 Wilshire Blvd, Entrance on 2nd St. between Wilshire & California, Santa Monica",4.8,(5000+)
BARRE,Barreworks Studio,"11740 San Vicente Blvd, Suite 210, Los Angeles",4.9,(5000+)
YOGA,One Down Dog,"2150 Colorado Blvd, Los Angeles",4.8,(5000+)
GYM TIME,Gold's Gym,"1016 Cole Ave, Los Angeles",4.8,(5000+)
CYCLING,Beatbike Indoor Cycling,"18700 Ventura Blvd, Los Angeles",4.9,(5000+)
"MEDITATION, YOGA",Roam LA,"650 N Hoover St, Los Angeles",4.9,(1000+)
YOGA,sweatheory,"1503 N Cahuenga Blvd, Los Angeles",4.9,(5000+)
YOGA,HYPERSLOW,"487 S Fairfax Ave, Los Angeles",4.9,(5000+)
CYCLING,AuraCycle,"8231 W 3rd St, Ste E, Los Angeles",4.8,(5000+)
PILATES,HIP Studio,"1200 Pacific Coast Hwy, Hermosa Beach",4.9,(1000+)
PILATES,Pilates Plus,"531 North Hollywood Way, Burbank",4.8,(1000+)
"STRENGTH TRAINING, DANCE",PLATEFIT - Studio City,"13033 Ventura Blvd, Los Angeles",4.8,(5000+)
MEDITATION,The DEN Meditation,"360 S La Brea Ave, Los Angeles",4.8,(5000+)
"YOGA, STRENGTH TRAINING",S.E.L.F. Fitness South Bay,"1603 Aviation Blvd, Ste 15, Redondo Beach",4.8,(1000+)
CRYOTHERAPY,CryoZone,"924 Wilshire Blvd, Santa Monica",4.9,(5000+)
YOGA,Ra Yoga,"3860 Worsham Ave, Suite 310 L, Long Beach",4.8,(1000+)
ROWING,SpeedX,"11755 Wilshire Blvd, Suite 40, Los Angeles",4.8,(5000+)
YOGA,Black Dog Yoga,"4454 Van Nuys Blvd, Suite 206, Los Angeles",4.8,(5000+)
"YOGA, STRENGTH TRAINING",Swerve,"8250 W 3rd St, Los Angeles",4.9,(5000+)
BARRE,Pure Barre,"201 Wilshire Blvd, Santa Monica",4.8,(5000+)
PILATES,Pilates Platinum,"1330 N Highland Ave, Suite B, Los Angeles",4.8,(5000+)
YOGA,sweat yoga,"360 E 2nd St, Los Angeles",4.8,(1000+)
MEDITATION,Unplug Meditation,"12401 Wilshire Blvd, Los Angeles",4.8,(5000+)
CYCLING,Pharos Athletic Club,"1316 Glendale Blvd, Los Angeles",4.9,(1000+)
GYM TIME,Built Gymnasium,"4005 Highland Ave, Manhattan Beach",4.9,(1000+)
PILATES,Pilates Plus,"1990 Westwood Blvd, Suite 120, Los Angeles",4.8,(5000+)
STRENGTH TRAINING,Sanctuary Fitness,"182 South Raymond Avenue, Pasadena",4.9,(1000+)
STRENGTH TRAINING,Pulse Fitness Studio,"14396 Ventura Blvd, Los Angeles",4.9,(5000+)
STRENGTH TRAINING,FitBox,"14539 Ventura Blvd, Los Angeles",4.9,(5000+)
PILATES,Pilates Plus,"16101 Ventura Blvd, Suite 210, Los Angeles",4.8,(5000+)
BARRE,Pure Barre,"11819 Wilshire Blvd, Ste 213, Los Angeles",4.8,(5000+)
"YOGA, CYCLING, …",Coreology Fitness,"777 Alameda Street Suite 136, Los Angeles",4.9,(1000+)
YOGA,Alo Yoga,"370 N Canon Dr, Beverly Hills",4.9,(5000+)
YOGA,Yogala Studios,"1840 Echo Park Ave, Los Angeles",4.8,(5000+)
PILATES,G:50,"138 S Robertson Blvd, Los Angeles",4.8,(1000+)
PILATES,Motivate,"2468 Glendale Boulevard, Los Angeles",4.9,(1000+)
BARRE,Pure Barre,"740 S Olive St, Suite 106, Los Angeles",4.8,(5000+)
YOGA,Purple Yoga,"140 W Amerige Ave, Fullerton",4.8,(1000+)
PILATES,Pilates and Arts,"1844 Echo Park Ave, Los Angeles",4.8,(5000+)
MEDITATION,Unplug Meditation,"8500 Melrose Ave, West Hollywood",4.8,(5000+)
CYCLING,CycleBar,"8305 Sunset Blvd, Unit E, Los Angeles",4.9,(5000+)
CYCLING,RYDE4,"1233 3rd Street Promenade, Roof Deck, Santa Monica",4.8,(5000+)
YOGA,Studio Surya Yoga,"1501 Main St, #106, Los Angeles",4.9,(5000+)
YOGA,One Down Dog,"319 Glendale Boulevard, Los Angeles",4.8,(1000+)
"CYCLING, BOXING",Basecamp Fitness,"38 S El Molino Ave, Pasadena",4.9,(5000+)
PILATES,Motivate,"3600 N Verdugo Rd, #106, Glendale",4.9,(1000+)
PILATES,Bodyline Pilates Fitness,"9171 Wilshire Blvd, Suite A, Beverly Hills",4.8,(5000+)
"GYM TIME, CYCLING, …",Revolution Fitness,"1211 Montana Ave, Santa Monica",4.8,(5000+)
"CYCLING, BOXING",Basecamp Fitness,"8714 Santa Monica Blvd, Suite C, West Hollywood",4.9,(5000+)
STRENGTH TRAINING,Poise Fitness,"428 California 1, Hermosa Beach",4.9,(5000+)
PILATES,Harmony Studios Pilates,"8440 Santa Monica Blvd, West Hollywood",4.9,(5000+)
YOGA,Love Yoga East,"2110 Sunset Blvd, Suite 0, Los Angeles",4.8,(5000+)
BARRE,Pure Barre,"7519 Sunset Blvd, Los Angeles",4.9,(5000+)
DANCE,The Playground LA,"7375 Melrose Ave, Los Angeles",4.8,(1000+)
BARRE,The Bar Method,"1950 Sawtelle Blvd, Ste 110, Los Angeles",4.9,(5000+)
BARRE,The Bar Method,"13400 W Washington Blvd, Suite 201, Marina del Rey",4.8,(5000+)
YOGA,Yoga Salt,"11955 W Washington Blvd, Los Angeles",4.8,(5000+)
YOGA,Santa Anita Hot Yoga Studio,"290 Rolyn Pl, Arcadia",4.8,(5000+)
"CYCLING, BARRE",Fit On Studios,"2407 N Sepulveda Blvd, Manhattan Beach",4.8,(5000+)
YOGA,AuraYoga,"8608 Sunset Blvd, A, West Hollywood",4.8,(5000+)
DANCE,Luscious Maven,"11135 Weddington St, #113, Los Angeles",4.9,(1000+)
YOGA,YogaWorks,"230 N Larchmont Blvd, Los Angeles",4.8,(5000+)
BARRE,The Bar Method,"8416 W 3rd St, Los Angeles",4.9,(5000+)
YOGA,Evolution Fitness,"6826 S Centinela Ave, Culver City",4.9,(5000+)
DANCE,Moore Dancing,"11943 Montana Ave, Los Angeles",4.8,(5000+)
